,SYMBOL,BID,BIDSIZ,OFR,OFRSIZ,PRICE,SIZE
2417,KO,62.04,11,62.05,20,62.05,100.0
2418,KO,62.05,12,62.07,18,62.06,200.0
2419,KO,62.05,22,62.07,17,62.06,100.0
2420,KO,62.06,13,62.07,15,62.06,100.0
2421,KO,62.06,22,62.08,19,62.07,500.0
2422,KO,62.07,4,62.08,24,62.07,100.0
2423,KO,62.06,18,62.07,21,62.07,1.0
2424,KO,62.06,17,62.08,25,62.07,1.0
2425,KO,62.05,15,62.06,13,62.06,303.0
2426,KO,62.06,22,62.07,18,62.06,100.0
2427,KO,62.06,8,62.07,13,62.065,100.0
2428,KO,62.05,15,62.06,22,62.06,125.0
2429,KO,62.04,15,62.06,34,62.05,200.0
2430,KO,62.05,5,62.06,14,62.05,1.0
2431,KO,62.06,3,62.07,22,62.06,3.0
2432,KO,62.05,13,62.06,14,62.06,100.0
2433,KO,62.06,6,62.07,22,62.06,500.0
2434,KO,62.05,16,62.07,38,62.06,200.0
2435,KO,62.04,20,62.06,22,62.05,400.0
2436,KO,62.05,19,62.06,5,62.06,66.0
2437,KO,62.05,30,62.07,20,62.06,168.0
2438,KO,62.06,21,62.08,24,62.07,20.0
2439,KO,62.07,21,62.08,14,62.07,200.0
2440,KO,62.06,5,62.07,30,62.07,93.0
2441,KO,62.06,4,62.07,32,62.06,200.0
2442,KO,62.06,23,62.07,18,62.06,200.0
2443,KO,62.07,15,62.08,13,62.07,43.0
2444,KO,62.07,4,62.08,16,62.07,58.0
2445,KO,62.07,7,62.08,16,62.08,100.0
2446,KO,62.07,31,62.08,2,62.08,100.0
2447,KO,62.07,32,62.09,19,62.08,400.0
2448,KO,62.09,4,62.1,23,62.09,200.0
2449,KO,62.1,20,62.11,15,62.1,1400.0
2450,KO,62.1,16,62.11,14,62.1,600.0
2451,KO,62.09,15,62.1,16,62.1,23.0
2452,KO,62.09,14,62.11,15,62.1,15.0
2453,KO,62.09,15,62.11,34,62.1,203.0
2454,KO,62.09,13,62.1,7,62.1,100.0
2455,KO,62.09,14,62.11,31,62.1,99.0
2456,KO,62.1,1,62.11,32,62.1,1237.0
2457,KO,62.09,3,62.1,33,62.09,75.0
2458,KO,62.09,3,62.1,34,62.09,21.0
2459,KO,62.08,5,62.09,28,62.09,121.0
2460,KO,62.07,15,62.08,28,62.08,400.0
2461,KO,62.07,1,62.08,32,62.07,30.0
2462,KO,62.07,2,62.08,24,62.07,46.0
2463,KO,62.07,1,62.08,48,62.07,100.0
2464,KO,62.06,32,62.07,20,62.07,200.0
2465,KO,62.06,18,62.07,32,62.06,100.0
2466,KO,62.06,1,62.07,44,62.06,228.0
2467,KO,62.05,10,62.06,20,62.06,300.0
2468,KO,62.05,4,62.06,13,62.055,91.0
2469,KO,62.04,15,62.06,37,62.05,200.0
2470,KO,62.04,49,62.06,24,62.05,900.0
2471,KO,62.05,26,62.06,5,62.055,100.0
2472,KO,62.05,29,62.06,4,62.06,12.0
2473,KO,62.06,22,62.07,22,62.065,100.0
2474,KO,62.06,21,62.07,22,62.065,100.0
2475,KO,62.05,22,62.07,38,62.06,100.0
2476,KO,62.06,22,62.08,22,62.07,26.0
2477,KO,62.07,33,62.08,21,62.08,129.0
2478,KO,62.08,13,62.09,17,62.08,25.0
2479,KO,62.08,25,62.09,8,62.085,10.0
2480,KO,62.07,17,62.08,22,62.08,160.0
2481,KO,62.06,18,62.07,10,62.07,372.0
2482,KO,62.07,2,62.08,24,62.07,428.0
2483,KO,62.06,11,62.07,14,62.07,47.0
2484,KO,62.03,18,62.04,10,62.04,2700.0
2485,KO,62.03,12,62.04,4,62.04,34.0
2486,KO,62.03,17,62.05,20,62.04,1.0
2487,KO,62.02,19,62.04,20,62.03,18.0
2488,KO,62.03,2,62.04,17,62.03,100.0
2489,KO,62.03,7,62.04,6,62.04,100.0
2490,KO,62.03,15,62.04,25,62.04,100.0
2491,KO,62.02,17,62.03,17,62.03,200.0
2492,KO,62.02,30,62.03,1,62.03,98.0
2493,KO,62.03,4,62.04,32,62.03,13.0
2494,KO,62.02,10,62.03,26,62.03,387.0
2495,KO,62.01,12,62.02,13,62.02,201.0
2496,KO,62.02,12,62.03,20,62.02,100.0
2497,KO,62.02,15,62.03,3,62.03,10.0
2498,KO,62.02,23,62.03,1,62.03,198.0
2499,KO,62.02,25,62.04,24,62.03,100.0
2500,KO,62.02,28,62.04,24,62.03,2.0
2501,KO,62.03,16,62.04,1,62.04,100.0
2502,KO,62.04,22,62.05,16,62.04,52.0
2503,KO,62.04,4,62.05,24,62.04,100.0
2504,KO,62.04,14,62.05,7,62.05,75.0
2505,KO,62.03,13,62.04,14,62.04,300.0
2506,KO,62.03,2,62.04,25,62.03,64.0
2507,KO,62.02,16,62.03,24,62.03,136.0
2508,KO,62.02,28,62.04,18,62.03,24.0
2509,KO,62.03,17,62.04,17,62.03,23.0
2510,KO,62.02,21,62.03,9,62.03,100.0
2511,KO,62.03,21,62.05,18,62.04,700.0
2512,KO,62.04,17,62.05,33,62.04,100.0
2513,KO,62.04,15,62.05,33,62.04,34.0
2514,KO,62.02,29,62.04,33,62.03,400.0
2515,KO,62.02,32,62.04,18,62.03,599.0
2516,KO,62.02,8,62.03,28,62.02,1100.0
2517,KO,62.02,7,62.03,28,62.02,75.0
2518,KO,62.02,3,62.03,32,62.02,75.0
2519,KO,62.02,3,62.03,30,62.02,74.0
2520,KO,62.02,1,62.03,37,62.02,100.0
2521,KO,62.01,19,62.03,34,62.02,5.0
2522,KO,62.01,19,62.02,20,62.02,100.0
